波長(nm),透過率(%)
400,0.5
401,1
402,1.5
403,2
404,2.5
405,3
406,3.5
407,4
408,4.5
409,5
410,5.5
411,6
412,6.5
413,7
414,7.5
415,8
416,8.5
417,9
418,9.5
419,10
420,10.5
421,11
422,11.5
423,12
424,12.5
425,13
426,13.5
427,14
428,14.5
429,15
430,15.5
431,16
432,16.5
433,17
434,17.5
435,18
436,18.5
437,19
438,19.5
439,20
440,20.5
441,21
442,21.5
443,22
444,22.5
445,23
446,23.5
447,24
448,24.5
449,25
450,25.5
451,26
452,26.5
453,27
454,27.5
455,28
456,28.5
457,29
458,29.5
459,30
460,30.5
461,31
462,31.5
463,32
464,32.5
465,33
466,33.5
467,34
468,34.5
469,35
470,35.5
471,36
472,36.5
473,37
474,37.5
475,38
476,38.5
477,39
478,39.5
479,40
480,40.5
481,41
482,41.5
483,42
484,42.5
485,43
486,43.5
487,44
488,44.5
489,45
490,45.5
491,46
492,46.5
493,47
494,47.5
495,48
496,48.5
497,49
498,49.5
499,50
500,50.5
501,51
502,51.5
503,52
504,52.5
505,53
506,53.5
507,54
508,54.5
509,55
510,55.5
511,56
512,56.5
513,57
514,57.5
515,58
516,58.5
517,59
518,59.5
519,60
520,60.5
521,61
522,61.5
523,62
524,62.5
525,63
526,63.5
527,64
528,64.5
529,65
530,65.5
531,66
532,66.5
533,67
534,67.5
535,68
536,68.5
537,69
538,69.5
539,70
540,70.5
541,71
542,71.5
543,72
544,72.5
545,73
546,73.5
547,74
548,74.5
549,75
550,75.5
551,76
552,76.5
553,77
554,77.5
555,78
556,78.5
557,79
558,79.5
559,80
560,80.5
561,81
562,81.5
563,82
564,82.5
565,83
566,83.5
567,84
568,84.5
569,85
570,85.5
571,86
572,86.5
573,87
574,87.5
575,88
576,88.5
577,89
578,89.5
579,90
580,90.5
581,91
582,91.5
583,92
584,92.5
585,93
586,93.5
587,94
588,94.5
589,95
590,95.5
591,96
592,96.5
593,97
594,97.5
595,98
596,98.5
597,99
598,99.5
599,100
600,99.5
601,99
602,98.5
603,98
604,97.5
605,97
606,96.5
607,96
608,95.5
609,95
610,94.5
611,94
612,93.5
613,93
614,92.5
615,92
616,91.5
617,91
618,90.5
619,90
620,89.5
621,89
622,88.5
623,88
624,87.5
625,87
626,86.5
627,86
628,85.5
629,85
630,84.5
631,84
632,83.5
633,83
634,82.5
635,82
636,81.5
637,81
638,80.5
639,80
640,79.5
641,79
642,78.5
643,78
644,77.5
645,77
646,76.5
647,76
648,75.5
649,75
650,74.5
651,74
652,73.5
653,73
654,72.5
655,72
656,71.5
657,71
658,70.5
659,70
660,69.5
661,69
662,68.5
663,68
664,67.5
665,67
666,66.5
667,66
668,65.5
669,65
670,64.5
671,64
672,63.5
673,63
674,62.5
675,62
676,61.5
677,61
678,60.5
679,60
680,59.5
681,59
682,58.5
683,58
684,57.5
685,57
686,56.5
687,56
688,55.5
689,55
690,54.5
691,54
692,53.5
693,53
694,52.5
695,52
696,51.5
697,51
698,50.5
699,50
700,49.5
